,subjID,gender,age,correct,RT,MT,sideCorrect,sideResp,condition,block,ratioSm,ratioLg,ratioDist,L_num,L_den,R_num,R_den,ratioNum,order,trial,experiment
84,RA1,1,,1.0,956.0,227.0,1.0,1.0,Congruent,90,0.2,0.3,100.0,3.0,10.0,1.0,5.0,0.33,9050,84,disc
85,RA1,1,,1.0,1459.0,599.0,1.0,1.0,Congruent,90,0.5,0.6,100.0,3.0,5.0,1.0,2.0,0.33,9050,85,disc
86,RA1,1,,0.0,1213.0,201.0,1.0,2.0,Congruent,90,0.6,0.8,200.0,4.0,5.0,3.0,5.0,0.75,9050,86,disc
87,RA1,1,,1.0,886.0,300.0,2.0,2.0,Congruent,90,0.4,0.6,200.0,2.0,5.0,6.0,10.0,0.33,9050,87,disc
88,RA1,1,,1.0,686.0,460.0,2.0,2.0,Incongruent,90,0.5,0.7,200.0,8.0,16.0,7.0,10.0,0.88,9050,88,disc
89,RA1,1,,1.0,1587.0,359.0,2.0,2.0,Congruent,90,0.5,0.7,200.0,11.0,22.0,14.0,20.0,0.79,9050,89,disc
90,RA1,1,,1.0,825.0,260.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,2.0,4.0,20.0,25.0,0.1,9050,90,disc
91,RA1,1,,1.0,711.0,222.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,5.0,10.0,24.0,30.0,0.21,9050,91,disc
92,RA1,1,,1.0,707.0,300.0,1.0,1.0,Congruent,90,0.5,0.6,100.0,15.0,25.0,12.0,24.0,0.8,9050,92,disc
93,RA1,1,,1.0,738.0,240.0,2.0,2.0,Congruent,90,0.03,0.33,300.0,1.0,30.0,4.0,12.0,0.25,9050,93,disc
94,RA1,1,,1.0,619.0,321.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,3.0,6.0,8.0,10.0,0.38,9050,94,disc
95,RA1,1,,1.0,851.0,296.0,1.0,1.0,Congruent,90,0.5,0.8,300.0,24.0,30.0,14.0,28.0,0.58,9050,95,disc
96,RA1,1,,0.0,1388.0,240.0,1.0,2.0,Congruent,90,0.3,0.5,200.0,4.0,8.0,3.0,10.0,0.75,9050,96,disc
97,RA1,1,,1.0,1073.0,321.0,1.0,1.0,Congruent,90,0.2,0.5,300.0,16.0,32.0,1.0,5.0,0.06,9050,97,disc
98,RA1,1,,1.0,789.0,282.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,8.0,16.0,12.0,15.0,0.67,9050,98,disc
99,RA1,1,,0.0,1060.0,201.0,1.0,2.0,Congruent,90,0.5,0.7,200.0,14.0,20.0,11.0,22.0,0.79,9050,99,disc
100,RA1,1,,1.0,1120.0,300.0,1.0,1.0,Congruent,90,0.13,0.33,200.0,7.0,21.0,4.0,30.0,0.57,9050,100,disc
101,RA1,1,,1.0,765.0,239.0,2.0,2.0,Congruent,90,0.4,0.5,100.0,8.0,20.0,9.0,18.0,0.89,9050,101,disc
102,RA1,1,,1.0,928.0,360.0,2.0,2.0,Congruent,90,0.4,0.5,100.0,2.0,5.0,14.0,28.0,0.14,9050,102,disc
103,RA1,1,,1.0,848.0,320.0,1.0,1.0,Congruent,90,0.4,0.5,100.0,9.0,18.0,2.0,5.0,0.22,9050,103,disc
104,RA1,1,,1.0,649.0,280.0,2.0,2.0,Congruent,90,0.3,0.4,100.0,9.0,30.0,10.0,25.0,0.9,9050,104,disc
105,RA1,1,,1.0,906.0,279.0,1.0,1.0,Congruent,90,0.5,0.6,100.0,18.0,30.0,8.0,16.0,0.44,9050,105,disc
106,RA1,1,,1.0,655.0,279.0,2.0,2.0,Congruent,90,0.33,0.43,100.0,8.0,24.0,13.0,30.0,0.62,9050,106,disc
107,RA1,1,,1.0,744.0,221.0,1.0,1.0,Congruent,90,0.4,0.5,100.0,11.0,22.0,6.0,15.0,0.55,9050,107,disc
108,RA1,1,,1.0,584.0,219.0,2.0,2.0,Congruent,90,0.5,0.6,100.0,11.0,22.0,18.0,30.0,0.61,9050,108,disc
109,RA1,1,,1.0,811.0,201.0,1.0,1.0,Congruent,90,0.5,0.8,300.0,8.0,10.0,2.0,4.0,0.25,9050,109,disc
